state_flow_id,customer_archetype,state_order,state_name,enter_condition,exit_condition,ui_hint_key,animation_tag,next_state,on_fail_state,note
customer_flow_villager_01,villager,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_shelf,leave_shop,basic villager entry
customer_flow_villager_01,villager,2,browse_shelf,always_true,price_seen,customer_flow_hint_browse,look_shelf,evaluate_price,leave_shop,browse common goods
customer_flow_villager_01,villager,3,evaluate_price,always_true,price_accept,customer_flow_hint_price,think,queue_purchase,leave_shop,price sensitivity check
customer_flow_villager_01,villager,4,queue_purchase,always_true,transaction_complete,customer_flow_hint_queue,wait_counter,receive_feedback,leave_shop,purchase queue
customer_flow_villager_01,villager,5,receive_feedback,always_true,feedback_played,customer_flow_hint_finish,nod,leave_shop,leave_shop,play bark and feedback
customer_flow_rogue_01,rogue_cultivator,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_medicine,leave_shop,rogue entry
customer_flow_rogue_01,rogue_cultivator,2,browse_medicine,always_true,quality_seen,customer_flow_hint_rogue_check,inspect_item,evaluate_stock,leave_shop,search for practical goods
customer_flow_rogue_01,rogue_cultivator,3,evaluate_stock,always_true,stock_ok,customer_flow_hint_stock,arms_cross,queue_purchase,leave_shop,stock amount gate
customer_flow_rogue_01,rogue_cultivator,4,queue_purchase,always_true,transaction_complete,customer_flow_hint_queue,wait_counter,receive_feedback,leave_shop,purchase queue
customer_flow_healer_01,healer,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_quality,leave_shop,healer entry
customer_flow_healer_01,healer,2,browse_quality,always_true,quality_seen,customer_flow_hint_quality,inspect_herb,evaluate_cleanliness,leave_shop,quality gate
customer_flow_healer_01,healer,3,evaluate_cleanliness,always_true,quality_accept,customer_flow_hint_clean,smell_item,queue_purchase,leave_shop,clean goods check
customer_flow_crafter_01,crafter,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_material,leave_shop,crafter entry
customer_flow_crafter_01,crafter,2,browse_material,always_true,material_seen,customer_flow_hint_material,tap_item,evaluate_price,leave_shop,material search
customer_flow_trader_01,trader,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_bulk,leave_shop,trader entry
customer_flow_trader_01,trader,2,browse_bulk,always_true,margin_seen,customer_flow_hint_margin,count_goods,evaluate_resell,leave_shop,resell margin check
customer_flow_trader_01,trader,3,evaluate_resell,always_true,margin_accept,customer_flow_hint_resell,think,queue_purchase,leave_shop,resell accept or reject
customer_flow_guest_01,guest,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_premium,leave_shop,guest entry
customer_flow_guest_01,guest,2,browse_premium,always_true,premium_seen,customer_flow_hint_premium,admire_item,evaluate_presentation,leave_shop,premium presentation check
customer_flow_guest_01,guest,3,evaluate_presentation,always_true,presentation_accept,customer_flow_hint_gift,smile,queue_purchase,leave_shop,gift suitability
customer_flow_faction_01,faction,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,inspect_batch,leave_shop,faction entry
customer_flow_faction_01,faction,2,inspect_batch,always_true,batch_seen,customer_flow_hint_batch,review_list,evaluate_standard,leave_shop,batch standard
customer_flow_faction_01,faction,3,evaluate_standard,always_true,batch_accept,customer_flow_hint_standard,judge_item,queue_purchase,leave_shop,strict gate
customer_flow_child_01,child,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_sweets,leave_shop,child entry
customer_flow_child_01,child,2,browse_sweets,always_true,sweet_seen,customer_flow_hint_sweets,peek_shelf,evaluate_allowance,leave_shop,small goods browse
customer_flow_child_01,child,3,evaluate_allowance,always_true,price_accept,customer_flow_hint_allowance,count_coins,queue_purchase,leave_shop,allowance check
customer_flow_pilgrim_01,pilgrim,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_ritual,leave_shop,pilgrim entry
customer_flow_pilgrim_01,pilgrim,2,browse_ritual,always_true,ritual_goods_seen,customer_flow_hint_ritual,pray_hands,evaluate_story,leave_shop,ritual browse
customer_flow_pilgrim_01,pilgrim,3,evaluate_story,always_true,story_accept,customer_flow_hint_story,listen,queue_purchase,leave_shop,story value check
customer_flow_collector_01,collector,1,enter_shop,always_true,shelf_detected,customer_flow_hint_enter,walk_in,browse_rare,leave_shop,collector entry
customer_flow_collector_01,collector,2,browse_rare,always_true,rare_seen,customer_flow_hint_rare,inspect_item,evaluate_authenticity,leave_shop,rare goods browse
customer_flow_collector_01,collector,3,evaluate_authenticity,always_true,authenticity_accept,customer_flow_hint_authenticity,check_record,queue_purchase,leave_shop,authenticity check
customer_flow_waterway_01,waterway_broker,1,enter_shop,always_true,shelf_detected,customer_flow_hint_waterway_enter,walk_in,browse_waterway,leave_shop,waterway buyer entry
customer_flow_waterway_01,waterway_broker,2,browse_waterway,always_true,waterway_goods_seen,customer_flow_hint_waterway_check,inspect_item,evaluate_price,leave_shop,checks Lianze water-fresh goods
customer_flow_waterway_01,waterway_broker,3,evaluate_price,always_true,route_value_accept,customer_flow_hint_waterway_route,think,queue_purchase,leave_shop,values familiar-route goods
