guide_id,trigger_type,trigger_param,step_index,ui_target_id,content_key,block_input,complete_condition
guide_main_0001,on_new_game,new_game,1,ui_move_stick,guide_main_0001_001,true,player_move_5m
guide_main_0001,on_new_game,new_game,2,ui_interact_hint,guide_main_0001_002,true,interact_old_ring
guide_main_0002,on_enter_area,area_cottage,1,ui_cleanup_mode,guide_main_0002_001,true,clear_junk_3
guide_main_0002,on_enter_area,area_cottage,2,ui_inventory_button,guide_main_0002_002,false,open_ui_inventory
guide_main_0002,on_enter_area,area_cottage,3,ui_tool_slot_hoe,guide_main_0002_003,true,equip_tool_hoe
guide_main_0003,on_item_collected,seed_bailuobo,1,ui_field_tile,guide_main_0003_001,true,plant_seed_bailuobo_1
guide_main_0003,on_item_collected,seed_bailuobo,2,ui_well_interact,guide_main_0003_002,true,draw_water_once
guide_main_0003,on_item_collected,seed_bailuobo,3,ui_crop_status,guide_main_0003_003,false,water_crop_once
guide_main_0004,on_day_reach,day_2,1,ui_map_button,guide_main_0004_001,true,open_world_map
guide_main_0004,on_day_reach,day_2,2,ui_area_town_main,guide_main_0004_002,true,enter_area_town_main
guide_main_0005,on_crop_spirit_birth,first_spirit,1,ui_spirit_panel,guide_main_0005_001,true,open_ui_spirit_panel
guide_main_0005,on_crop_spirit_birth,first_spirit,2,ui_spirit_job_slot,guide_main_0005_002,true,assign_spirit_job_once
guide_main_0101,on_term_change,term_jingzhe,1,ui_term_panel,guide_main_0101_001,false,open_ui_term_panel
guide_main_0101,on_term_change,term_jingzhe,2,ui_pest_alert,guide_main_0101_002,true,remove_pest_3
guide_main_0201,on_build_complete,build_shop_lv1,1,ui_shop_shelf,guide_main_0201_001,true,place_item_on_shelf_3
guide_main_0201,on_build_complete,build_shop_lv1,2,ui_shop_open_button,guide_main_0201_002,true,start_shop_open_once
